code,value
35452,0.306
35453,0.293
35454,0.237
35455,0.202
35511,0.471
35512,0.438
35513,0.425
35514,0.369
35515,0.334
35521,0.429
35522,0.396
35523,0.383
35524,0.327
35525,0.292
35531,0.418
35532,0.385
35533,0.372
35534,0.316
35535,0.281
35541,0.305
35542,0.272
35543,0.259
35544,0.203
35545,0.168
35551,0.264
35552,0.231
35553,0.218
35554,0.162
35555,0.127
41111,0.693
41112,0.66
41113,0.647
41114,0.591
41115,0.556
41121,0.651
41122,0.618
41123,0.605
41124,0.549
41125,0.514
41131,0.64
41132,0.607
41133,0.594
41134,0.538
41135,0.503
41141,0.527
41142,0.494
41143,0.481
41144,0.425
41145,0.39
41151,0.486
41152,0.453
41153,0.44
41154,0.384
41155,0.349
41211,0.672
41212,0.639
41213,0.626
41214,0.57
41215,0.535
41221,0.63
41222,0.597
41223,0.584
41224,0.528
41225,0.493
41231,0.619
41232,0.586
41233,0.573
41234,0.517
41235,0.482
41241,0.506
41242,0.473
41243,0.46
41244,0.404
41245,0.369
41251,0.465
41252,0.432
41253,0.419
41254,0.363
41255,0.328
41311,0.642
41312,0.609
41313,0.596
41314,0.54
41315,0.505
41321,0.6
41322,0.567
41323,0.554
41324,0.498
41325,0.463
41331,0.589
41332,0.556
41333,0.543
41334,0.487
41335,0.452
41341,0.476
41342,0.443
41343,0.43
41344,0.374
41345,0.339
41351,0.435
41352,0.402
41353,0.389
41354,0.333
41355,0.298
41411,0.593
41412,0.56
41413,0.547
41414,0.491
41415,0.456
41421,0.551
41422,0.518
41423,0.505
41424,0.449
41425,0.414
41431,0.54
41432,0.507
41433,0.494
41434,0.438
41435,0.403
41441,0.427
41442,0.394
41443,0.381
41444,0.325
41445,0.29
41451,0.386
41452,0.353
41453,0.34
41454,0.284
41455,0.249
41511,0.518
41512,0.485
41513,0.472
41514,0.416
41515,0.381
41521,0.476
41522,0.443
41523,0.43
41524,0.374
41525,0.339
41531,0.465
41532,0.432
41533,0.419
41534,0.363
41535,0.328
41541,0.352
41542,0.319
41543,0.306
41544,0.25
41545,0.215
41551,0.311
